sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,month,day_of_week
185.428,0.1287694444444444,0.0,0.842,0.164,0.112,0.124,348400.45,7165.4,2063.0,644.0,6583.0,1,1
200.752,0.1394111111111111,0.0,0.822,0.114,0.104,0.128,347047.56,11928.8,3500.0,5737.0,16064.0,1,2
177.712,0.1234111111111111,0.0,0.616,0.104,0.0,0.122,346886.78,7693.2,0.0,336.0,13491.0,1,3
170.052,0.1180916666666666,0.0,0.528,0.0,0.0,0.12,345831.76,6301.8,2103.0,330.0,7172.0,1,4
238.362,0.1655291666666666,0.0,0.678,0.0,0.0,0.138,343969.16,13461.2,4324.0,5222.0,11440.0,1,5
229.736,0.1595388888888888,0.0,0.638,0.064,0.0,0.132,344114.09,14674.6,10346.0,5567.0,11599.0,1,6
168.642,0.1171125,0.0,0.582,0.0,0.08,0.116,347908.51,9151.6,1054.0,2983.0,11361.0,1,0
138.28,0.0960277777777777,0.0,0.558,0.08,0.164,0.102,349578.08,7575.6,0.0,1064.0,5061.0,1,1
178.06,0.1236527777777777,0.0,0.596,0.21,0.128,0.112,347699.08,12576.4,3464.0,2480.0,11744.0,1,2
144.16,0.1001111111111111,0.0,0.596,0.128,0.13,0.108,350531.08,6666.2,1158.0,262.0,11239.0,1,3
142.902,0.0992374999999999,0.0,0.648,0.128,0.0,0.104,349591.38,6798.8,1163.0,261.0,8238.0,1,4
148.242,0.1029458333333333,0.0,0.592,0.0,0.094,0.092,347927.86,8567.8,1170.0,3896.0,12374.0,1,5
153.352,0.1065684503127171,0.0,0.616,0.154,0.104,0.082,345798.59,13143.4,3466.0,3997.0,12045.0,1,6
165.696,0.1150666666666666,0.0,0.692,0.104,0.0,0.104,346938.62,8336.0,1123.0,294.0,15254.0,1,0
180.934,0.1256486111111111,0.0,0.874,0.0,0.058,0.114,348250.86,7240.6,1123.0,1424.0,8149.0,1,1
185.988,0.1291583333333333,0.0,0.718,0.058,0.126,0.116,345486.43,9970.0,0.0,5950.0,15052.0,1,2
150.264,0.10435,0.0,0.5,0.128,0.0,0.106,346164.68,7678.8,1170.0,386.0,13145.0,2,3
139.542,0.0969041666666666,0.0,0.38,0.0,0.224,0.102,346081.52,7014.0,0.0,356.0,11338.0,2,4
245.824,0.1707111111111111,0.0,0.76,0.106,0.094,0.12,344030.68,17015.0,4746.0,4573.0,17834.0,2,5
186.494,0.1295097222222222,0.0,0.64,0.096,0.084,0.098,345072.0,15214.2,3391.0,4597.0,14472.0,2,6
147.228,0.1022416666666666,0.0,0.562,0.09,0.25,0.1,346766.85,6941.4,896.0,2564.0,7849.0,2,0
142.566,0.0990041666666666,0.0,0.45,0.242,0.118,0.098,347420.39,5431.6,1185.0,405.0,4517.0,2,1
177.708,0.1234083333333333,0.0,0.796,0.124,0.244,0.114,347255.56,9780.0,3299.0,3513.0,11986.0,2,2
138.896,0.0964555555555555,0.0,0.624,0.244,0.262,0.096,348188.12,7557.6,2226.0,366.0,10157.0,2,3
158.066,0.1097680555555555,0.0,0.574,0.26,0.258,0.112,348106.24,6807.2,0.0,3045.0,9770.0,2,4
192.974,0.1340097222222222,0.0,0.688,0.264,0.092,0.118,345653.03,11957.4,5071.0,2831.0,14405.0,2,5
204.314,0.1418847222222222,0.0,0.82,0.09,0.06,0.112,344888.85,15158.6,2430.0,4765.0,13114.0,2,6
136.704,0.0949333333333333,0.0,0.446,0.0,0.126,0.082,345741.84,7925.0,2227.0,399.0,11517.0,2,0
134.678,0.0935263888888888,0.0,0.424,0.132,0.0,0.096,347280.27,5967.0,0.0,2828.0,6256.0,2,1
202.506,0.1406291666666666,0.0,0.662,0.0,0.134,0.126,346140.56,10533.8,3295.0,3793.0,11579.0,2,2
165.964,0.1152527777777777,0.0,0.646,0.136,0.058,0.114,346563.68,8381.2,0.0,2363.0,14028.0,2,3
151.686,0.1053375,0.0,0.39,0.116,0.34,0.11,346782.16,7267.0,1148.0,859.0,8689.0,2,4
238.968,0.16595,0.0,0.806,0.344,0.08,0.132,344615.09,8826.0,1765.0,2226.0,7157.0,2,5
255.522,0.1774458333333333,0.0,0.764,0.086,0.224,0.154,344405.96,16184.0,6107.0,8003.0,13129.0,2,6
176.584,0.1226277777777777,0.0,0.38,0.19,0.126,0.113,345297.0,9276.8,1634.0,2900.0,13085.0,2,0
187.158,0.1299708333333333,0.0,0.434,0.206,0.118,0.114,345406.24,13202.6,2058.0,5191.0,9713.0,2,1
189.87,0.1318541666666666,0.0,0.644,0.116,0.05,0.106,346263.79,8747.2,3527.0,2332.0,11548.0,2,2
137.954,0.0959346314325452,0.0,0.498,0.052,0.074,0.08,343140.65,14194.2,1409.0,4129.0,12251.0,2,3
149.344,0.1037111111111111,0.0,0.644,0.114,0.0,0.092,346587.79,5508.6,0.0,503.0,10786.0,2,4
122.202,0.0848625,0.0,0.35,0.0,0.126,0.094,345402.87,3003.6,0.0,363.0,3562.0,2,5
113.736,0.0789833333333333,0.0,0.372,0.124,0.274,0.088,348021.43,2105.6,0.0,329.0,1660.0,2,6
108.28,0.0751944444444444,0.0,0.388,0.278,0.0,0.074,347433.97,2388.8,0.0,331.0,2830.0,2,0
113.204,0.0786138888888888,0.0,0.36,0.0,0.268,0.092,349839.75,2195.4,0.0,314.0,1924.0,2,1
113.372,0.0787305555555555,0.0,0.38,0.27,0.0,0.09,348709.81,2201.0,0.0,340.0,1973.0,2,2
107.628,0.0747416666666666,0.0,0.378,0.0,0.12,0.084,347502.82,2172.8,0.0,316.0,1980.0,3,3
107.008,0.0743111111111111,0.0,0.368,0.118,0.116,0.084,346451.9,2169.8,0.0,340.0,1969.0,3,4
134.992,0.0937444444444444,0.0,0.364,0.118,0.11,0.094,347454.84,3457.6,0.0,347.0,4597.0,3,5
175.682,0.1220013888888888,0.0,0.628,0.11,0.104,0.107,345642.91,8867.8,1476.0,8711.0,9408.0,3,6
205.956,0.1430249999999999,0.0,0.656,0.102,0.0,0.1,345644.51,11290.0,5727.0,12109.0,10026.0,3,0
186.148,0.1292694444444444,0.0,0.498,0.0,0.0,0.108,347022.82,5321.8,0.0,1740.0,4700.0,3,1
171.2,0.1188888888888888,0.0,0.672,0.0,0.204,0.094,346065.93,9986.4,1076.0,4761.0,15513.0,3,2
187.404,0.1301416666666666,0.0,0.818,0.202,0.0,0.09,346558.21,6717.8,2180.0,3385.0,6655.0,3,3
119.238,0.0828041666666666,0.0,0.408,0.0,0.086,0.0849999999999999,346879.39,5373.0,1093.0,345.0,8631.0,3,4
243.528,0.1691166666666666,0.0,0.77,0.088,0.064,0.114,345316.08,10572.4,4130.0,5422.0,10979.0,3,5
173.374,0.1203986111111111,0.0,0.744,0.064,0.0,0.078,345610.5,14575.0,4810.0,3420.0,9500.0,3,6
134.422,0.0933486111111111,0.0,0.436,0.0,0.0,0.088,346404.55,8249.0,1403.0,2841.0,12353.0,3,0
126.718,0.0879986111111111,0.0,0.456,0.0,0.094,0.092,346893.07,5480.2,1350.0,3859.0,5323.0,3,1
157.522,0.1093902777777777,0.0,0.63,0.088,0.132,0.1,346719.3,7585.2,3485.0,480.0,8607.0,3,2
159.326,0.1106430555555555,0.0,0.4,0.132,0.086,0.1,346003.91,7953.4,0.0,3263.0,11036.0,3,3
130.208,0.0904222222222222,0.0,0.36,0.088,0.108,0.088,344919.07,7189.0,1106.0,4604.0,5370.0,3,4
127.068,0.0882416666666666,0.0,0.502,0.106,0.234,0.082,343043.5,8562.4,2208.0,359.0,12275.0,3,5
241.45,0.1676736111111111,0.0,0.656,0.234,0.0,0.134,347108.86,10091.4,6564.0,7369.0,5856.0,3,6
144.764,0.1005305555555555,0.0,0.576,0.0,0.1,0.076,346315.81,9046.0,1648.0,2686.0,14118.0,3,0
164.87,0.1144930555555555,0.0,0.596,0.102,0.0,0.094,346774.52,8857.8,3745.0,2837.0,11255.0,3,1
142.83,0.0991875,0.0,0.638,0.062,0.078,0.09,347020.77,8981.6,1865.0,4133.0,12335.0,3,2
113.826,0.0790458333333333,0.0,0.356,0.104,0.048,0.066,348139.48,6081.2,353.0,736.0,10462.0,3,3
119.488,0.0829777777777777,0.0,0.548,0.05,0.0,0.08,347969.49,5477.4,1127.0,777.0,8369.0,3,4
191.024,0.1326555555555555,0.0,0.656,0.0,0.062,0.094,345174.44,12532.8,3707.0,5797.0,16382.0,3,5
235.972,0.1639833217512161,0.0,0.86,0.066,0.0,0.126,345407.14,13990.4,4630.0,3600.0,9358.0,3,6
160.966,0.1117819444444444,0.0,0.498,0.0,0.106,0.106,347525.01,6023.6,1088.0,344.0,9096.0,3,0
151.726,0.1053652777777777,0.0,0.584,0.106,0.122,0.1,346466.85,4747.0,0.0,3019.0,3697.0,3,1
196.518,0.1364708333333333,0.0,0.716,0.132,0.142,0.128,346240.24,9870.6,1122.0,8527.0,13888.0,3,2
198.696,0.1379833333333333,0.0,0.57,0.138,0.084,0.124,346372.83,6734.6,1162.0,460.0,10724.0,3,3
181.128,0.1257833333333333,0.0,0.408,0.082,0.14,0.118,347096.49,6033.0,1094.0,468.0,8217.0,3,4
231.504,0.1607666666666666,0.0,0.76,0.144,0.228,0.12,344535.51,14781.2,2620.0,7707.0,17682.0,3,5
202.552,0.1406611111111111,0.0,0.838,0.238,0.21,0.1,345635.26,11735.2,4629.0,5401.0,19509.0,4,6
174.336,0.1210666666666666,0.0,0.598,0.218,0.078,0.1,346262.57,8226.2,1755.0,970.0,16641.0,4,0
168.76,0.1171944444444444,0.0,0.624,0.08,0.226,0.102,346327.14,6978.6,3630.0,1042.0,7637.0,4,1
172.318,0.1196652777777777,0.0,0.72,0.224,0.106,0.104,346077.77,8620.2,3434.0,420.0,14748.0,4,2
244.538,0.1698180555555555,0.0,0.562,0.102,0.0,0.164,347289.27,7907.8,1086.0,4277.0,10523.0,4,3
143.214,0.0994541666666666,0.0,0.594,0.0,0.084,0.09,347305.61,6751.6,0.0,5466.0,9166.0,4,4
138.73,0.0963402777777777,0.0,0.364,0.0,0.21,0.092,346145.17,6573.0,1127.0,3111.0,5923.0,4,5
135.882,0.0943625,0.0,0.388,0.21,0.116,0.094,346102.82,6796.6,0.0,485.0,3545.0,4,6
160.11,0.1111875,0.0,0.424,0.214,0.108,0.103,346392.7,4283.4,2667.0,514.0,3801.0,4,0
148.94,0.1034305555555555,0.0,0.462,0.108,0.218,0.106,346771.73,3380.2,209.0,742.0,2572.0,4,1
192.446,0.1336430555555555,0.0,0.418,0.222,0.194,0.11,347262.95,3771.0,0.0,1112.0,6421.0,4,2
147.812,0.1026472222222222,0.0,0.344,0.194,0.208,0.102,345968.73,2301.0,0.0,541.0,1818.0,4,3
151.64,0.1053055555555555,0.0,0.346,0.23,0.326,0.102,345672.7,2366.4,0.0,558.0,1988.0,4,4
155.61,0.1080625,0.0,0.36,0.236,0.346,0.104,346050.93,2378.0,0.0,578.0,2008.0,4,5
171.544,0.1191277777777777,0.0,0.518,0.344,0.176,0.11,345940.83,3148.6,0.0,1026.0,2893.0,4,6
186.074,0.1292180555555555,0.0,0.548,0.178,0.252,0.122,346546.28,4136.4,952.0,1305.0,4656.0,4,0
218.354,0.1516347222222222,0.0,0.65,0.186,0.338,0.126,345881.76,5314.8,1532.0,389.0,6199.0,4,1
165.224,0.1147388888888888,0.0,0.72,0.336,0.0,0.108,345811.36,4313.4,1579.0,355.0,3430.0,4,2
149.66,0.1039305555555555,0.0,0.58,0.0,0.0,0.102,346218.97,4400.4,733.0,1605.0,5748.0,4,3
145.64600000000002,0.1011430555555555,0.0,0.398,0.0,0.0,0.106,345791.37,3592.6,1069.0,360.0,3499.0,4,4
212.658,0.1476791666666666,0.0,0.656,0.0,0.348,0.122,344467.06,7251.4,6575.0,463.0,11129.0,4,5
267.194,0.1855513888888889,0.0,0.714,0.354,0.232,0.164,345036.79,9631.4,4264.0,2287.0,11102.0,4,6
135.64,0.0941944444444444,0.0,0.37,0.228,0.072,0.082,341619.33,4700.4,1402.0,506.0,6005.0,4,0
135.264,0.0939333333333333,0.0,0.358,0.074,0.108,0.082,338896.69,4528.6,1125.0,527.0,6680.0,4,1
164.736,0.1143999999999999,0.0,0.392,0.11,0.102,0.094,338315.2,5555.6,0.0,1469.0,8812.0,4,2
163.606,0.1136152777777777,0.0,0.366,0.104,0.0,0.094,338093.71,5650.2,1324.0,1845.0,7163.0,4,3
161.928,0.11245,0.0,0.514,0.0,0.086,0.094,338711.28,4770.0,1772.0,545.0,4756.0,4,4
2.86,0.1361904761904762,0.084,0.218,0.086,0.208,0.086,4913.71,97.4,0.0,18.0,0.0,4,5
0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,4,6
71.718,0.1245104166666666,0.0,0.502,0.078,0.142,0.097,135285.14,1865.8,1214.0,500.0,1131.0,4,0
181.608,0.1261166666666666,0.0,0.662,0.14,0.184,0.094,337937.33,7305.6,4005.0,995.0,8546.0,5,1
160.092,0.111175,0.0,0.638,0.188,0.126,0.094,339238.19,4523.8,7.0,1490.0,3754.0,5,2
150.942,0.1048208333333333,0.0,0.4,0.138,0.112,0.086,338594.24,4763.0,1906.0,1725.0,7836.0,5,3
174.74,0.1213472222222222,0.0,0.448,0.11,0.12,0.102,339422.68,4432.4,2259.0,538.0,3990.0,5,4
174.102,0.1209041666666666,0.0,0.55,0.154,0.09,0.1,338450.43,6820.0,2913.0,2493.0,11303.0,5,5
182.336,0.1266222222222222,0.0,0.528,0.076,0.054,0.098,337549.9,9229.0,3215.0,949.0,10095.0,5,6
168.918,0.1173041666666666,0.0,0.54,0.054,0.128,0.096,337733.24,7172.6,946.0,4935.0,9433.0,5,0
181.612,0.1261194444444444,0.0,0.858,0.13,0.196,0.098,338264.98,7713.2,4581.0,2011.0,8777.0,5,1
183.484,0.1274194444444444,0.0,0.52,0.198,0.09,0.108,338218.16,7280.8,3018.0,5631.0,9474.0,5,2
168.314,0.1168847222222222,0.0,0.594,0.088,0.046,0.102,339546.61,3177.8,946.0,534.0,3261.0,5,3
132.096,0.0917333333333333,0.0,0.368,0.0,0.084,0.088,338730.85,4359.8,926.0,491.0,6471.0,5,4
209.172,0.1452583333333333,0.0,0.638,0.086,0.12,0.112,338000.98,6279.2,2247.0,1075.0,10408.0,5,5
220.67,0.1532430555555555,0.0,0.988,0.12,0.064,0.122,339420.54,7155.6,3612.0,2414.0,8958.0,5,6
298.552,0.2073277777777778,0.0,0.676,0.13,0.288,0.194,339393.7,6586.8,3176.0,2417.0,5517.0,5,0
111.182,0.0772097222222222,0.0,0.32,0.286,0.056,0.062,339281.27,3936.0,0.0,408.0,5318.0,5,1
135.894,0.0943708333333333,0.0,0.438,0.056,0.208,0.072,338775.57,7303.4,2213.0,5756.0,9077.0,5,2
131.188,0.0911027777777777,0.0,0.336,0.12,0.056,0.076,339650.58,5358.2,1014.0,2073.0,7687.0,5,3
171.258,0.1189291666666666,0.0,0.736,0.0,0.058,0.076,339832.22,7022.4,3270.0,3913.0,8116.0,5,4
167.858,0.1165680555555555,0.0,0.616,0.056,0.068,0.08,338320.4,6219.8,4683.0,530.0,7022.0,5,5
187.532,0.1302305555555555,0.0,0.912,0.064,0.17,0.088,338901.29,8555.8,5420.0,1733.0,7611.0,5,6
117.28,0.0814444444444444,0.0,0.464,0.168,0.052,0.066,337956.35,4807.6,0.0,468.0,9060.0,5,0
128.916,0.089525,0.0,0.464,0.052,0.054,0.064,339092.03,4895.8,931.0,3966.0,3984.0,5,1
165.878,0.1151930555555555,0.0,0.584,0.05,0.068,0.074,338129.99,6332.4,956.0,3792.0,8119.0,5,2
135.56,0.0941388888888889,0.0,0.618,0.104,0.086,0.072,339186.33,4985.4,955.0,4116.0,4746.0,5,3
174.588,0.1212416666666666,0.0,0.566,0.082,0.0,0.08,337603.97,7003.4,8060.0,586.0,6539.0,5,4
174.24,0.121,0.0,0.468,0.0,0.112,0.09,338500.64,6570.4,2373.0,2754.0,8628.0,5,5
219.894,0.1527041666666666,0.0,0.734,0.112,0.0,0.092,338268.15,9369.4,4366.0,5534.0,10444.0,5,6
151.1,0.1049305555555555,0.0,0.67,0.0,0.166,0.08,338265.47,7087.6,4554.0,473.0,9586.0,5,0
113.244,0.0786416666666666,0.0,0.326,0.046,0.072,0.064,339399.86,4618.4,0.0,1907.0,4332.0,5,1
147.058,0.1021236111111111,0.0,0.488,0.072,0.07,0.068,338157.21,6953.0,2250.0,5948.0,7804.0,5,2
129.586,0.0899902777777777,0.0,0.422,0.07,0.196,0.062,338539.0,4020.2,935.0,477.0,3552.0,5,3
143.182,0.0995010423905489,0.0,0.43,0.196,0.0,0.076,338630.26,4512.2,0.0,483.0,7664.0,6,4
166.108,0.1153527777777777,0.0,0.792,0.0,0.09,0.08,337635.4,6442.6,3971.0,1250.0,7633.0,6,5
182.458,0.1267069444444444,0.0,0.49,0.092,0.224,0.1,338057.82,9148.2,4985.0,7529.0,8334.0,6,6
223.192,0.1549944444444444,0.0,0.524,0.242,0.4,0.146,338037.22,4064.0,1585.0,836.0,4533.0,6,0
255.692,0.1775638888888888,0.0,0.88,0.404,0.06,0.162,337957.58,6429.8,4484.0,1027.0,6448.0,6,1
231.06,0.1605698401667825,0.0,0.758,0.056,0.166,0.162,337620.53,7351.6,3329.0,829.0,11663.0,6,2
172.334,0.1196763888888888,0.0,0.562,0.168,0.296,0.08,337649.48,4294.6,985.0,699.0,3959.0,6,3
229.732,0.1595361111111111,0.0,0.986,0.296,0.0,0.122,340124.32,9285.4,2799.0,11440.0,11380.0,6,4
226.656,0.1616661911554921,0.0,0.856,0.0,0.098,0.15,337469.05,4565.2,852.0,596.0,6590.0,6,5
239.092,0.1660361111111111,0.0,0.6,0.098,0.132,0.128,346815.77,5768.2,4202.0,1924.0,5983.0,6,6
194.634,0.1351625,0.0,0.48,0.132,0.384,0.12,346833.72,3481.8,0.0,487.0,5328.0,6,0
216.416,0.1502888888888889,0.0,0.564,0.382,0.21,0.122,345923.85,4116.4,1882.0,475.0,3898.0,6,1
208.26,0.144625,0.0,0.454,0.212,0.102,0.122,346172.55,4057.2,957.0,857.0,5216.0,6,2
231.696,0.1609,0.0,0.72,0.102,0.25,0.116,345380.81,5448.0,3322.0,2147.0,7054.0,6,3
251.762,0.1748347222222222,0.0,0.606,0.246,0.23,0.172,346268.71,4415.4,2269.0,4011.0,4547.0,6,4
307.558,0.2135819444444444,0.0,0.822,0.23,0.114,0.214,344882.44,8604.0,3289.0,4498.0,11108.0,6,5
239.814,0.1665375,0.0,0.69,0.066,0.116,0.146,345915.62,8307.8,4124.0,5038.0,8734.0,6,6
180.81,0.1255625,0.0,0.462,0.116,0.0,0.116,346717.73,2993.4,0.0,529.0,4241.0,6,0
187.986,0.1307273991655076,0.0,0.436,0.0,0.124,0.116,345507.19,3682.4,973.0,535.0,4357.0,6,1
227.302,0.1578486111111111,0.0,1.148,0.122,0.338,0.118,345824.88,4761.8,1761.0,2588.0,5106.0,6,2
222.546,0.1545458333333333,0.0,0.544,0.338,0.262,0.126,346427.92,3601.2,932.0,2400.0,3711.0,6,3
208.526,0.1448097222222222,0.0,0.378,0.258,0.0,0.124,346803.31,2602.6,0.0,951.0,3482.0,6,4
193.12,0.1341111111111111,0.0,0.514,0.0,0.13,0.122,346059.31,2211.4,0.0,786.0,2402.0,6,5
179.362,0.1245569444444444,0.0,0.364,0.128,0.0,0.11,347230.39,3179.0,0.0,791.0,3449.0,6,6
197.27,0.1369930555555555,0.0,0.674,0.0,0.152,0.102,346208.06,4680.0,1985.0,3621.0,4816.0,6,0
182.42,0.1266805555555555,0.0,0.776,0.108,0.132,0.106,345736.09,4143.0,971.0,1334.0,5231.0,6,1
206.998,0.1437486111111111,0.0,0.654,0.1,0.214,0.116,345252.11,6378.0,2603.0,6451.0,7270.0,6,2
217.446,0.1510041666666666,0.0,0.712,0.208,0.204,0.122,344770.08,5601.0,0.0,4368.0,9541.0,6,3
206.194,0.1432897845726198,0.0,0.714,0.206,0.11,0.126,345622.33,5673.2,4363.0,667.0,6797.0,6,4
188.354,0.1308013888888889,0.0,0.49,0.11,0.354,0.098,345616.72,5719.0,3049.0,792.0,8376.0,6,5
172.448,0.1197555555555555,0.0,0.764,0.35,0.19,0.092,345696.7,4436.2,969.0,736.0,4690.0,7,6
176.924,0.1228638888888889,0.0,0.614,0.19,0.092,0.092,346567.41,4216.0,1018.0,5281.0,3445.0,7,0
180.338,0.1252347222222222,0.0,0.47,0.096,0.34,0.086,345869.19,4652.2,467.0,3214.0,4695.0,7,1
253.334,0.1759263888888889,0.0,0.986,0.3,0.38,0.114,346549.87,4457.4,2329.0,2218.0,5632.0,7,2
246.716,0.1713305555555555,0.0,0.526,0.38,0.09,0.15,346240.0,4655.8,2922.0,770.0,3973.0,7,3
219.35,0.1523263888888889,0.0,0.666,0.206,0.314,0.118,346463.21,4706.8,2826.0,3563.0,4005.0,7,4
214.044,0.1486416666666666,0.0,0.446,0.0,0.0,0.118,345470.6,5810.2,997.0,3047.0,10177.0,7,5
196.92,0.1367499999999999,0.0,0.506,0.0,0.092,0.114,346088.01,4736.6,1825.0,2831.0,5277.0,7,6
172.422,0.1197375,0.0,0.524,0.092,0.088,0.102,346489.41,5063.4,923.0,594.0,9386.0,7,0
176.244,0.1223916666666666,0.0,0.742,0.088,0.248,0.108,345575.6,4012.0,67.0,2227.0,4631.0,7,1
153.856,0.1068444444444444,0.0,0.352,0.172,0.116,0.1,347083.25,3167.2,1015.0,647.0,5284.0,7,2
209.098,0.1452069444444444,0.0,0.686,0.116,0.27,0.114,346701.05,4656.4,1029.0,2550.0,6419.0,7,3
206.694,0.1435374999999999,0.0,0.546,0.27,0.068,0.12,346830.92,3529.2,0.0,633.0,4427.0,7,4
258.45,0.1794791666666666,0.0,0.718,0.066,0.218,0.166,347460.31,5607.4,3775.0,1968.0,6604.0,7,5
233.182,0.1780015267175572,0.0,0.96,0.218,0.088,0.188,315181.48,4050.0,862.0,632.0,5585.0,7,6
233.96,0.1624722222222222,0.0,0.678,0.09,0.0,0.176,340570.42,3831.2,830.0,695.0,4176.0,7,0
176.088,0.1222833333333333,0.0,0.37,0.0,0.096,0.1,338027.41,3277.8,848.0,694.0,3335.0,7,1
156.514,0.1086902777777777,0.0,0.336,0.096,0.096,0.082,332767.05,3437.0,909.0,671.0,4628.0,7,2
187.012,0.1298694444444444,0.0,0.666,0.098,0.0,0.098,337337.08,3087.2,1068.0,703.0,3130.0,7,3
223.118,0.1549430555555555,0.0,0.742,0.0,0.086,0.114,339219.22,4970.4,2111.0,2418.0,4765.0,7,4
236.158,0.1639986111111111,0.0,1.092,0.086,0.102,0.12,337329.54,4739.8,428.0,512.0,7756.0,7,5
218.246,0.1516650451702571,0.0,0.908,0.102,0.206,0.114,339551.81,6082.0,7091.0,2136.0,5563.0,7,6
143.77,0.0998402777777777,0.0,0.756,0.212,0.094,0.082,337681.25,4429.4,1747.0,1288.0,3847.0,7,0
112.81,0.0783402777777777,0.0,0.314,0.0,0.0,0.082,338922.78,3673.4,0.0,1607.0,5599.0,7,1
108.234,0.0751625,0.0,0.224,0.0,0.0,0.088,339323.11,2130.2,0.0,151.0,2333.0,7,2
115.092,0.079925,0.0,0.538,0.0,0.0,0.086,338318.96,4087.0,975.0,3633.0,4346.0,7,3
120.456,0.08365,0.0,0.462,0.0,0.124,0.084,339197.3,5217.6,1837.0,49.0,7157.0,7,4
178.73,0.1241180555555555,0.0,0.964,0.08,0.0,0.119,339130.42,7116.0,907.0,10265.0,6559.0,7,5
118.576,0.0823444444444444,0.0,0.23,0.0,0.0,0.096,339425.33,1488.2,0.0,0.0,1288.0,7,6
129.492,0.0899249999999999,0.0,0.372,0.0,0.112,0.098,339163.53,2112.8,0.0,0.0,2528.0,7,0
